Liberia,1852429,1914081,1954336,1966210,1939400,1773971,1591767,1506350,1381944,1328628,1354061,1354819,1384603,1403261,1347464,1300190,1269211,1270287,1339076,1343961,1311933,1248403
Madagascar,4911293,4010537,2032961,1921403,1971342,1408501,2345948,1078280,1497292,1594592,823538,893540,882824,469371,442208,666523,662852,834134,1180072,898515,1111496,905987
Malawi,4359158,4252631,3867128,3859499,3911675,3949459,4106623,4353265,4685666,5053353,5570026,5615374,5457399,5115871,4731580,4638347,4716725,4633730,4851733,5157186,5289453,5068222
Malaysia,0,0,0,0,85,266,242,596,1028,3662,3954,5194,5955,6071,4048,5294,5569,6154,6338,11019,12780,12705
Mali,7744735,7586538,6863255,7710138,7469199,7184988,7097168,7740479,7699696,7194633,6491808,5957047,5630658,5515727,5474736,5527211,5683984,5475357,5230718,4977784,4719788,4565653
Mauritania,85030,201771,184057,236485,306475,386314,291679,216687,101247,88074,162490,123348,108111,209089,246899,258559,281841,286610,319661,308961,307700,304757
Mauritius,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Mayotte,,,0,6,19,35,2,1,1,53,89,412,206,410,614,682,1089,1632,1743,,,
Mexico,242,356,618,803,736,551,517,656,495,833,1124,1226,2703,2357,2361,2514,2967,3406,3819,4624,4996,7390
Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,19,0,3
Mozambique,10283922,9990474,9421431,9406462,9422965,9501504,9403454,9315947,9291989,9032885,8783904,8660053,8469429,8345403,8256754,8325146,8517561,8967650,9278676,9283388,8997785,8416877
Myanmar,292857,82144,78326,108681,120755,162032,271652,383705,611838,1754334,1326603,1507212,1492378,1573810,1285206,1017913,1420525,1409035,1396707,1383490,1369637,1355454
Namibia,21322,20258,5705,50217,89155,32052,15052,25780,7844,5465,3092,2590,6068,12094,20663,68176,65303,105493,67564,70395,102902,77408
Nepal,106,244,464,2736,2690,3353,4370,4912,10164,13662,18512,30196,25643,31003,42145,35567,36030,34773,72856,85217,55778,47986
Nicaragua,29457,32469,16717,20158,13866,7943,2886,1446,1471,1564,1171,876,772,965,1717,3943,8412,8735,8507,9745,13275,29953
Niger,8166369,7845383,7631511,7760340,7883346,8053568,8073585,7880779,7717689,7633594,7283090,6785885,6017879,5403729,4668666,4386050,4271200,4016648,3825282,4048859,4180737,4134706
Nigeria,65399501,65133759,61379283,59652248,57869533,55667334,54115123,53483458,53921321,55718235,58184509,60551056,63192869,63355538,61400329,59418382,57411916,55028747,52423482,50952482,51229713,50779020
Oman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,6,2,6
Pakistan,505620,542779,640380,705529,819944,1017237,1000339,994600,1381009,1652576,1905938,1445704,1015691,763800,835398,851104,845170,683580,924733,966325,1037774,923913
Panama,4585,2049,1849,789,801,809,575,1005,740,888,372,440,819,783,1349,1751,3861,5365,4739,2363,977,1091
Papua New Guinea,1237112,1470120,1124906,1301773,1230223,1208966,884727,1613869,1420220,1249648,899054,1079284,1563409,1180316,1251261,1481681,1413497,1708217,1333205,1235844,1443554,1462249
Paraguay,0,0,0,0,0,0,0,0,0,0,1,20,80,331,1337,820,373,692,1388,2775,2706,6853
Peru,23250,29745,45729,58455,72752,72836,86896,83936,62669,40437,30924,37847,52035,54608,62633,80054,108134,115387,111816,128960,105067,103335
Philippines,10609,15096,13536,10900,16586,17308,27904,14318,17518,19171,23918,53512,58824,74621,112751,102993,83163,91225,100493,70585,56147,79974
Republic of Korea,274,356,485,501,436,602,627,557,383,394,505,1267,898,1063,2227,2051,1369,864,1171,1799,2556,4183
Rwanda,1700493,2986047,5279485,6184131,8681013,4887836,3585563,2299121,1214623,646386,390611,1079765,1546660,683661,840559,1396437,1385594,1101660,1231753,1375805,1478868,1536115
Sao Tome and Principe,2719,1933,2732,2937,2239,2238,2056,1754,9243,12550,8442,3146,6182,6258,2421,5146,18139,46486,42656,50586,42086,31975
Saudi Arabia,0,83,38,61,177,272,83,30,34,82,69,29,58,61,467,1278,1059,1232,1724,2612,3074,6608
Senegal,995763,835455,672221,1047659,805691,684129,1010929,532782,793415,706020,626038,763134,405713,628766,1160145,1376263,1362379,1393434,2063074,2248602,2470115,2676527
Sierra Leone,2777394,2795827,2857585,2901372,2883985,2914796,2857523,2868023,2921184,2986182,3009591,2977797,2881379,2654929,2396659,2277054,2270241,2267452,2246838,2269445,2201474,2081568
Solomon Islands,151437,112768,139245,86680,103587,84179,39811,34803,53689,52221,62676,91425,75305,93119,155491,281888,286015,337823,239181,280109,285929,254582
Somalia,1131892,926877,957015,913696,820464,837484,811764,668820,534460,433472,419303,500313,454522,719911,1128218,1274766,1392857,1245035,1268524,1236218,1283399,1177314
South Africa,2958,4463,4821,9562,23381,4323,4959,11705,8645,6621,9866,8060,6072,7796,6327,12098,7755,13399,13459,15649,26506,18206
South Sudan,2953582,3042784,2938499,2898120,2960681,2949646,3033662,3098291,3173418,3079924,2979272,2775374,2640300,2586745,2520885,2450862,2342844,2243889,2229084,2250591,2283971,2245004
Sri Lanka,0,0,0,0,0,0,0,0,0,23,124,684,531,649,198,591,1640,3720,10510,41411,66522,210039
Sudan,3325874,3261859,2835630,2485883,2187618,2097220,1611298,1427317,1257489,1162568,1120801,1104287,1140986,1238850,1450820,1597895,1614440,1596519,1722030,1837673,2326967,2439775
